chamber_name,city,state,membership_status
Alaska Chamber of Commerce,"Anchorage, AK",AK,U.S. Chamber Member
Anchorage Chamber of Commerce,"Anchorage, AK",AK,U.S. Chamber Member
Chugiak-Eagle River Chamber of Commerce,"Eagle River, AK",AK,U.S. Chamber Member
Denali Chamber of Commerce,"Healy, AK",AK,U.S. Chamber Member
Greater Fairbanks Chamber of Commerce,"Fairbanks, AK",AK,U.S. Chamber Member
Greater Ketchikan Chamber of Commerce,"Ketchikan, AK",AK,U.S. Chamber Member
Greater Palmer Chamber of Commerce,"Palmer, AK",AK,U.S. Chamber Member
Greater Sitka Chamber of Commerce,"Sitka, AK",AK,U.S. Chamber Member
Greater Wasilla Chamber of Commerce,"Wasilla, AK",AK,U.S. Chamber Member
Homer Chamber of Commerce & Visitor Center,"Homer, AK",AK,U.S. Chamber Member
Juneau Chamber of Commerce,"Juneau, AK",AK,U.S. Chamber Member
Kenai Chamber of Commerce & Visitor Center,"Kenai, AK",AK,U.S. Chamber Member
Kodiak Chamber of Commerce,"Kodiak, AK",AK,U.S. Chamber Member
Resource Development Council For Alaska Inc.,"Anchorage, AK",AK,U.S. Chamber Member
Soldotna Chamber of Commerce,"Soldotna, AK",AK,U.S. Chamber Member
Anchor Point Chamber of Commerce,"Anchor Point, AK",AK,
Bethel Chamber of Commerce,"Bethel, AK",AK,
Big Lake Chamber ofCommerce,"Big Lake, AK",AK,
Bristol Bay Borough Chamber of Commerce,"King Salmon, AK",AK,
Cooper Landing Chamber of Commerce,"Cooper Landing, AK",AK,
Cordova Chamber of Commerce,"Cordova, AK",AK,
Delta Chamber of Commerce & Visitor Center,"Delta Junction, AK",AK,
Dillingham Chamber of Commerce,"Dillingham, AK",AK,
Greater Copper Valley Chamber of Commerce,"Glennallen, AK",AK,
Greater Whittier Chamber of Commerce,"Whittier, AK",AK,
Haines Chamber of Commerce,"Haines, AK",AK,
Houston Chamber of Commerce,"Big Lake, AK",AK,
Kennicott-McCarthy Chamber of Commerce,"Glennallen, AK",AK,
Nenana Chamber of Commerce,"Nenana, AK",AK,
Ninilchik Chamber of Commerce,"Ninilchik, AK",AK,
Nome Chamber of Commerce,"Nome, AK",AK,
North Peninsula Chamber of Commerce,"Nikiski, AK",AK,
North Pole Community Chamber of Commerce,"North Pole, AK",AK,
Prince of Wales Chamber of Commerce,"Klawock, AK",AK,
Seldovia Chamber ofCommerce,"Seldovia, AK",AK,
Seward Chamber of Commerce,"Seward, AK",AK,
Skagway Chamber of Commerce,"Skagway, AK",AK,
Stewart-Hyder International Chamber of Commerce,"Hyder, AK",AK,
Sunshine Chamber of Commerce,"Willow, AK",AK,
Talkeetna Chamber of Commerce,"Talkeetna, AK",AK,
Tok Chamber of Commerce,"Tok, AK",AK,
Unalaska/Dutch Harbor Chamber of Commerce,"Unalaska, AK",AK,
Willow Chamber of Commerce,"Willow, AK",AK,
Wrangell Chamber of Commerce,"Wrangell, AK",AK,
